"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"Uin~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-11-01 21:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 22:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 22:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 22:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 22:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 23:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 23:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 23:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-01 23:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 00:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 00:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 00:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 00:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 01:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 01:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 01:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 01:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 02:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 02:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 02:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 02:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 03:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 03:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 03:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 03:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 04:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 04:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 04:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 04:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 05:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 05:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 05:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 05:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 06:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 06:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 06:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 06:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 07:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 07:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 07:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 07:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 08:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 08:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 08:30";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 08:45";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 09:00";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
"2025-11-02 09:15";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N";;"N"
